adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order
False,2,3895,Acting,Michael Caine,Michael Caine,23.567,/hZruclwEPCKw3e83rnFSIH5sRFZ.jpg,17,Alfred Pennyworth,52fe4220c3a36847f8005cf9,2
False,2,64,Acting,Gary Oldman,Gary Oldman,102.613,/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg,16,James Gordon,52fe4220c3a36847f8005cf5,3
False,2,6383,Acting,Aaron Eckhart,Aaron Eckhart,21.652,/5EFQvRHlpP1Iaw2e6vjOaBny6DV.jpg,15,Harvey Dent / Two-Face,52fe4220c3a36847f8005cf1,4
False,1,1579,Acting,Maggie Gyllenhaal,Maggie Gyllenhaal,21.671,/7P1o6b4gZj7ICF847m8EXEyw2vV.jpg,8,Rachel Dawes,52fe421fc3a36847f8005cd5,5
False,2,31,Acting,Tom Hanks,Tom Hanks,86.069,/xndWFsBlClOJFRdhSt4NBwiPq2o.jpg,4,Paul Edgecomb,52fe424ac3a36847f8012bc7,0
False,2,61981,Acting,Michael Clarke Duncan,Michael Clarke Duncan,14.566,/3RX8OBqt3gbvFwKYZqiom4O3Ta6.jpg,5,John Coffey,52fe424ac3a36847f8012bcb,1
False,2,52,Acting,David Morse,David Morse,16.701,/A6zGbkFjM3uajIakgsSeNTmSKqY.jpg,17,"Brutus ""Brutal"" Howell",52fe424ac3a36847f8012c0f,2
False,1,5149,Acting,Bonnie Hunt,Bonnie Hunt,19.264,/tT9C6uLztgN8OxJULq6F9iEzqlA.jpg,16,Jan Edgecomb,52fe424ac3a36847f8012c0b,3
False,2,2169,Acting,Michael Jeter,Michael Jeter,11.34,/pNBf8X56wCOHH7cArsMYJuke4fO.jpg,18,Eduard Delacroix,52fe424ac3a36847f8012c13,4
False,2,6806,Acting,Doug Hutchison,Doug Hutchison,8.234,/1E4yWgUs2VQsr8MRBTFOusY44lm.jpg,23,Percy Wetmore,52fe424ac3a36847f8012c27,5
False,2,6807,Acting,Sam Rockwell,Sam Rockwell,16.676,/vYpWxV0bnUgKo7SdasfGP9HttUq.jpg,24,'Wild Bill' Wharton,52fe424ac3a36847f8012c2b,6
False,2,8891,Acting,John Travolta,John Travolta,43.789,/9axs7CGk01nmGqBAppDR92JHucn.jpg,2,Vincent Vega,52fe4269c3a36847f801ca99,0
False,2,2231,Acting,Samuel L. Jackson,Samuel L. Jackson,44.787,/nCJJ3NVksYNxIzEHcyC1XziwPVj.jpg,3,Jules Winnfield,52fe4269c3a36847f801ca9d,1
False,1,139,Acting,Uma Thurman,Uma Thurman,39.346,/sBgAZWi3o4FsnaTvnTNtK6jpQcF.jpg,8,Mia Wallace,52fe4269c3a36847f801cab7,2
False,2,62,Acting,Bruce Willis,Bruce Willis,24.407,/caX3KtMU42EP3VLRFFBwqIIrch5.jpg,1,Butch Coolidge,52fe4269c3a36847f801ca95,3
False,2,10182,Acting,Ving Rhames,Ving Rhames,24.111,/4gpLVNKPZlVucc4fT2fSZ7DksTK.jpg,10,Marsellus Wallace,52fe4269c3a36847f801cabf,4
False,2,1037,Acting,Harvey Keitel,Harvey Keitel,42.85,/pNlfp7K47D1XCyNjmkVsElpHIiN.jpg,7,"Winston ""The Wolf"" Wolfe",52fe4269c3a36847f801cab3,5
False,2,7036,Acting,Eric Stoltz,Eric Stoltz,37.332,/p9ZBOGVpIFgtywjgHqRkJsZEG18.jpg,9,Lance,52fe4269c3a36847f801cabb,6
False,2,190,Acting,Clint Eastwood,Clint Eastwood,29.075,/okP7SeXKP3tw9Y3YTVWLIZAMdm8.jpg,169,Blondie,631efe050bb076007b79b43e,0
False,2,3265,Acting,Eli Wallach,Eli Wallach,12.622,/cjOzKNXOrwc8ZgGWmJEM8A3HZ19.jpg,170,Tuco Ramirez,631efe6a0bb076009286d011,1
False,2,4078,Acting,Lee Van Cleef,Lee Van Cleef,21.586,/yQc5wjNCdRZzPp5E2wRPRYsEq9a.jpg,171,Sentenza / Angel Eyes,631efe830d2f53007c6c0f9a,2
False,2,5813,Acting,Aldo Giuffrè,Aldo Giuffrè,3.283,/aT6eECl1R3YGYL4KatyIQrq0zG8.jpg,172,Alcoholic Union Captain,631efe99b87aec007f89c129,3
False,2,5814,Acting,Luigi Pistilli,Luigi Pistilli,6.826,/bH5vmD2CMBHzJyBe0P0bL6iTUNL.jpg,173,Father Pablo Ramirez,631efeae0bb076008023ed8e,4
False,1,5815,Acting,Rada Rassimov,Rada Rassimov,9.841,/xJhnSHn2vKp0MJ2KZaihrgqq0Mc.jpg,174,Maria,631efec4b87aec007a7803fd,5
False,2,1077276,Acting,Enzo Petito,Enzo Petito,1.889,,175,Storekeeper,631efed5b87aec007f89c144,6
False,1,32,Acting,Robin Wright,Robin Wright,23.256,/d3rIv0y2p0jMsQ7ViR7O1606NZa.jpg,8,Jenny Curran,52fe420ec3a36847f8000753,1
False,2,33,Acting,Gary Sinise,Gary Sinise,12.787,/ngYV91xYfCu0JNcSxJ4yQ7tzOna.jpg,9,Lieutenant Dan Taylor,52fe420ec3a36847f8000757,2
