id,title,cast
26451,Investigation of a Citizen Above Suspicion,"[14276, 83259, 585373, 235572, 95229, 98485, 1140825]"
664767,Mortal Kombat Legends: Scorpion's Revenge,"[939345, 1231115, 53828, 74949, 1620226, 571562, 1509454]"
297610,Abraham Lincoln Vampire Hunter: The Great Calamity,"[239996, 5365]"
531428,Portrait of a Lady on Fire,"[1385600, 68816, 1442550, 3124, 96295, 1187034, 2385689]"
133919,Scenes from a Marriage,"[11916, 38127, 6657, 46867, 6662, 92052, 116509]"
2457,Children of Paradise,"[25154, 25155, 24476, 25156, 25157, 25158, 25159]"
517814,Capernaum,"[2084595, 2084596, 2084597, 2084599, 2084600, 2084602, 2226542]"
470044,The Hate U Give,"[561869, 35705, 62649, 1680339, 4238, 53650, 1377458]"
654299,Out of the Clear Blue Sky,"[1134885, 7351, 1255083, 1314375, 2492975, 145455, 1095074]"
398818,Call Me by Your Name,"[1190668, 53807, 72873, 20577, 935096, 1592949, 1789600]"
20532,Sansho the Bailiff,"[24551, 122429, 34374, 122430, 134258, 551776, 1529926]"
289,Casablanca,"[4110, 4111, 4112, 4113, 3001, 4114, 2094]"
475557,Joker,"[73421, 380, 1545693, 4432, 16841, 74242, 121718]"
399106,Piper,[]
823754,Bo Burnham: Inside,[115128]
872,Singin' in the Rain,"[13294, 13295, 8857, 13296, 13297, 41226, 13298]"
111,Scarface,"[1158, 1159, 1160, 1161, 1162, 1163, 1164]"
447365,Guardians of the Galaxy Vol. 3,"[73457, 8691, 543530, 543261, 139820, 12835, 51329]"
1422,The Departed,"[514, 6193, 1892, 13240, 21657, 8349, 5538]"
103,Taxi Driver,"[380, 1038, 13, 1037, 1040, 1039, 1036]"
620683,My Mom is a Character 3,"[1185618, 592370, 1185619, 557414, 567575, 1422048, 228054]"
606856,Togo,"[5293, 86034, 32887, 97416, 43933, 2521595, 154647]"
68718,Django Unchained,"[134, 27319, 6193, 11703, 2231, 27740, 27770]"
406997,Wonder,"[1277188, 1204, 887, 1109976, 1590759, 1274210, 1668151]"
92060,Michael Jackson's Thriller,"[82702, 926, 1905, 99914, 1897702, 61824, 1448801]"
508442,Soul,"[134, 56323, 78577, 15298, 8602, 98103, 119598]"
532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,"[115301, 1492982, 1325034, 1254671, 202806, 235262, 587350]"
19,Metropolis,"[74, 75, 73, 77, 79, 78, 80]"
705,All About Eve,"[3380, 10606, 3361, 10607, 10608, 10609, 7684]"
600354,The Father,"[4173, 39187, 34546, 11616, 17606, 17328, 33191]"
666,Central Station,"[10055, 10059, 10057, 10061, 10062, 8600, 52584]"
20914,My Friends,"[32312, 3281, 24366, 24599, 9920, 24379, 1007633]"
489,Good Will Hunting,"[1892, 2157, 880, 1640, 6613, 1893, 6614]"
614,Wild Strawberries,"[8741, 6657, 8742, 6649, 8743, 1036779, 550135]"
439,La Dolce Vita,"[5676, 5961, 5682, 5962, 5963, 5964, 5965]"
20941,Innocent Voices,"[145059, 145061, 10839, 72128, 1660431, 104982, 1603]"
996,Double Indemnity,"[4091, 14974, 13566, 14975, 14976, 14977, 14978]"
550776,Believe Me: The Abduction of Lisa McVey,"[1183993, 84522, 58014, 1461465, 158459, 43930, 87779]"
11878,Yojimbo,"[7450, 70131, 70811, 33761, 7457, 83202, 7453]"
348,Alien,"[4139, 10205, 5047, 5048, 5049, 65, 5050]"
55823,The Great War,"[12259, 45982, 12520, 2568, 24379, 5567, 103777]"
500,Reservoir Dogs,"[1037, 3129, 147, 2969, 884, 6937, 6938]"
600,Full Metal Jacket,"[8654, 2059, 7132, 8655, 8656, 3229, 8657]"
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"[12446, 862, 3088, 4966, 14253, 6600, 15152]"
831827,Far from the Tree,[]
100,"Lock, Stock and Two Smoking Barrels","[973, 974, 975, 976, 980, 982, 978]"
548,Rashomon,"[7450, 7451, 7453, 7452, 7454, 7455, 7456]"
640344,Me Against You: Mr. S's Vendetta,"[2436933, 2436934, 1328360, 2508882, 1749081, 2513541, 2439759]"
37165,The Truman Show,"[206, 350, 11315, 11317, 11318, 228, 13242]"
472454,Ayla: The Daughter of War,"[106621, 1876418, 93389, 1457752, 145500, 46065, 106620]"
411088,The Invisible Guest,"[82700, 34053, 110129, 724188, 28509, 1027740, 942100]"
895,Andrei Rublev,"[8475, 13706, 1190992, 13707, 13708, 13709, 13710]"
21634,Prayers for Bobby,"[23891, 10205, 15319, 76470, 6069, 58899, 92019]"
24382,Big Deal on Madonna Street,"[12259, 27442, 12341, 91543, 91544, 4959, 5676]"
992,Sherlock Jr.,"[8635, 14920, 10530, 14921, 14922, 1263235, 1616867]"
239,Some Like It Hot,"[3150, 3151, 3149, 3152, 3155, 3156, 3160]"
843,In the Mood for Love,"[1338, 1337, 12462, 12463, 12674, 1148003, 1002925]"
400608,Bo Burnham: Make Happy,"[115128, 71551]"
397567,Along with the Gods: The Two Worlds,"[75913, 63442, 150125, 1128106, 73249, 118976, 1351055]"
3780,Red Beard,"[7450, 33764, 70626, 131203, 213483, 34374, 96800]"
526702,Black Beauty,"[204, 851784, 20508, 1826549, 4174, 1462924, 190631]"
38288,I corti,"[120019, 120025, 120020, 7543]"
12445,Harry Potter and the Deathly Hallows: Part 2,"[10980, 10989, 10990, 1283, 1923, 11184, 5469]"
347688,Scooby-Doo! and KISS: Rock and Roll Mystery,"[15831, 86314, 26457, 15761, 57756, 123255, 1038546]"
81481,Silenced,"[150903, 127720, 913196, 929592, 145382, 1096793, 587677]"
9702,Bound by Honor,"[58646, 58647, 4589, 16427, 58648, 18792, 27736]"
149871,The Tale of The Princess Kaguya,"[1115687, 227629, 70627, 120690, 90570, 148286, 1375742]"
